location,date,avg,median,high,low,std,obs
PEPCO,2020-01-01,18.812977684210527,18.243654,22.966338,17.48822,1.563733294429182,19
PEPCO,2020-01-02,23.23780958333333,21.19683,38.210863,18.163047,5.490434855449597,24
PEPCO,2020-01-03,22.498894625000002,22.868226,30.347509,17.590127,3.4770166888231584,24
PEPCO,2020-01-04,19.879898458333333,19.159475,24.328226,16.747621,2.4253837271294327,24
PEPCO,2020-01-05,19.150533875,18.387312,26.845462,16.895393,2.5820504271062554,24
PEPCO,2020-01-06,24.358723541666667,22.1872215,44.815536,17.899495,7.031054232729079,24
PEPCO,2020-01-07,24.90001775,23.559956,44.299289,19.150755,5.859390116219124,24
PEPCO,2020-01-08,23.263570958333332,21.6966125,31.748806,18.750581,4.1958498655054735,24
PEPCO,2020-01-09,25.75079070833333,21.889795999999997,61.37739,19.071241,9.455752505194901,24
PEPCO,2020-01-10,20.799335041666666,20.220713,25.789568,18.336233,2.1681153496283647,24
PEPCO,2020-01-11,16.794937916666665,16.556710000000002,20.792938,13.774518,2.155095867141856,24
PEPCO,2020-01-12,18.875128208333333,19.098905,26.970457,13.288059,3.5562275230652958,24
PEPCO,2020-01-13,21.741467,21.5700475,29.728522,14.575663,4.493352865179602,24
PEPCO,2020-01-14,21.313950000000002,20.843742,28.521688,15.093768,4.062728006717986,24
PEPCO,2020-01-15,21.578326708333332,20.6363845,28.215696,17.652768,3.1808955036011817,24
PEPCO,2020-01-16,22.042421375,21.7162475,33.956488,15.455171,5.151910890120741,24
PEPCO,2020-01-17,28.951767833333335,25.349512,61.516455,20.159567,9.528887276095567,24
PEPCO,2020-01-18,25.958872541666665,25.520933,30.943549,22.758123,2.407294060838289,24
PEPCO,2020-01-19,22.184714083333333,21.3469545,33.732933,19.344736,3.573921189018751,24
PEPCO,2020-01-20,29.065695375,27.2442055,38.605457,24.076582,4.492529670047859,24
PEPCO,2020-01-21,31.720616083333336,28.6376985,73.695069,24.797236,10.153618082314127,24
PEPCO,2020-01-22,25.000665041666664,24.048592499999998,40.308698,18.98962,5.157026146066166,24
PEPCO,2020-01-23,22.559090416666667,21.303793499999998,33.773868,19.311144,3.6490695102726844,24
PEPCO,2020-01-24,21.401457250000004,21.137598,25.921308,17.940026,2.4753034583824136,24
PEPCO,2020-01-25,17.691381208333333,17.5691955,21.864234,14.185855,2.200392001568257,24
PEPCO,2020-01-26,17.994762208333334,17.8572855,23.738969,14.594845,2.3589537755323158,24
PEPCO,2020-01-27,24.61729216666667,24.157169500000002,38.795725,17.864957,5.74524510435257,24
PEPCO,2020-01-28,23.03007375,21.721481,30.181161,17.874642,3.991043896156626,24
PEPCO,2020-01-29,26.864152666666666,24.077520999999997,44.991025,19.7218,6.970843048552205,24
PEPCO,2020-01-30,27.58185466666667,23.893601,52.750628,20.233026,8.157785144255664,24
PEPCO,2020-01-31,26.96224970833333,24.8598705,48.496581,19.971109,7.026828745476182,24
PEPCO,2020-02-01,21.47605245833333,20.420735,29.652785,18.013935,3.206908253065342,24
