location,year,month,avg,median,high,low,std,obs,month_name,year_month
PEPCO,2020,1,23.14470553991881,21.668583,73.695069,13.288059,6.249492251063423,739,Jan,2020-01
PEPCO,2020,2,20.598718673850573,20.2679105,61.404944,12.949487,4.210676414878258,696,Feb,2020-02
PEPCO,2020,3,18.732617639784948,18.5956495,43.904984,8.804856,4.71156502443849,744,Mar,2020-03
PEPCO,2020,4,17.363239141666668,17.304727,32.04905,9.915864,3.176352360020672,720,Apr,2020-04
PEPCO,2020,5,18.419610137096775,17.5889435,51.265188,8.823872,5.353000372881516,744,May,2020-05
PEPCO,2020,6,19.719472820833335,18.646649500000002,62.476761,8.157881,7.84676264828951,720,Jun,2020-06
PEPCO,2020,7,25.954906077956988,23.856082999999998,73.766148,10.5657,11.37821236534385,744,Jul,2020-07
PEPCO,2020,8,25.108686358870965,23.308691500000002,69.428673,11.24983,10.239465732825257,744,Aug,2020-08
PEPCO,2020,9,21.465979133333335,20.380659,53.464248,9.535957,7.252903268505552,720,Sep,2020-09
PEPCO,2020,10,24.416066461021504,23.673113,44.862789,10.484011,7.243636674700466,744,Oct,2020-10
PEPCO,2020,11,22.678963047222222,21.721844,69.13813,6.79796,6.932642718586143,720,Nov,2020-11
PEPCO,2020,12,27.550179426075267,25.6070925,69.407202,16.099922,8.125417516808543,744,Dec,2020-12
PEPCO,2021,1,27.439853880376344,25.744743,62.989264,16.722818,6.673629587095729,744,Jan,2021-01
PEPCO,2021,2,43.37766498958334,32.510652,203.862303,18.047406,30.631033027233496,672,Feb,2021-02
PEPCO,2021,3,27.32346554704301,25.7469835,82.957096,15.656125,8.183390486190891,744,Mar,2021-03
PEPCO,2021,4,30.408034025000003,28.5214335,79.663504,14.897355,10.344807042803067,720,Apr,2021-04
PEPCO,2021,5,30.18644581451613,27.406711,168.044562,15.847852,12.792768283270087,744,May,2021-05
PEPCO,2021,6,33.63212841944445,30.4174735,114.446741,15.420551,15.184381923941185,720,Jun,2021-06
PEPCO,2021,7,39.35618656989247,35.434346,107.065638,17.404396,15.640666235472636,744,Jul,2021-07
PEPCO,2021,8,45.13887599731183,39.423707500000006,176.555804,20.462132,20.319302021019404,744,Aug,2021-08
PEPCO,2021,9,48.029728352777774,42.0828855,169.319485,23.546561,20.15334396098129,720,Sep,2021-09
PEPCO,2021,10,63.36595901478494,62.2207795,118.170236,30.255214,18.78771089358244,744,Oct,2021-10
PEPCO,2021,11,72.32786609305555,69.331238,202.636686,30.817799,22.007997930404436,720,Nov,2021-11
PEPCO,2021,12,41.73999036424731,37.523723000000004,127.452304,19.845666,16.4535176649415,744,Dec,2021-12
PEPCO,2022,1,71.39312536962366,62.648439999999994,222.751153,17.579937,34.863560975842574,744,Jan,2022-01
PEPCO,2022,2,55.62157833184524,49.989819999999995,157.557873,27.427064,18.92053352325648,672,Feb,2022-02
PEPCO,2022,3,48.86550419892473,45.625807,153.158553,27.548822,14.906008151540334,744,Mar,2022-03
PEPCO,2022,4,70.23866932916667,68.2556505,150.064407,40.256338,17.411270884978034,720,Apr,2022-04
PEPCO,2022,5,86.68498898924732,78.93262999999999,349.624382,44.722389,37.64432254456133,744,May,2022-05
PEPCO,2022,6,95.29461506388888,81.855772,307.341362,36.585488,47.85777750622089,720,Jun,2022-06
PEPCO,2022,7,98.47366805913978,91.6057775,248.595732,35.956763,42.86621272348667,744,Jul,2022-07
PEPCO,2022,8,106.59387321370968,93.984774,310.064431,50.34107,45.543293582800096,744,Aug,2022-08
PEPCO,2022,9,89.799918675,79.76305099999999,221.339177,32.181436,36.59727423577609,720,Sep,2022-09
PEPCO,2022,10,65.32054490725807,62.969434,170.178445,29.044211,20.32108348769443,744,Oct,2022-10
PEPCO,2022,11,59.200350211111115,54.704809,165.971738,18.647858,23.777627243590448,720,Nov,2022-11
PEPCO,2022,12,99.01796449731182,69.0814175,492.956176,28.913742,83.72367680781159,744,Dec,2022-12
PEPCO,2023,1,40.39591331586022,39.728417,98.19006,20.822957,11.00240016763815,744,Jan,2023-01
PEPCO,2023,2,34.83687729613095,29.421733500000002,247.532527,16.817125,25.893309531608846,672,Feb,2023-02
PEPCO,2023,3,31.278272209677418,29.503411999999997,135.638477,16.066466,10.459857758699124,744,Mar,2023-03
PEPCO,2023,4,34.06890576666667,30.945737,106.78655,16.480681,12.50760864748892,720,Apr,2023-04
PEPCO,2023,5,34.16195986155914,32.583689,97.173177,11.619056,13.236177063523055,744,May,2023-05
PEPCO,2023,6,31.73522504861111,28.127896,112.486472,10.709107,15.915519490112525,720,Jun,2023-06
PEPCO,2023,7,42.129374913978495,35.057779499999995,322.897434,12.69362,34.69820606197583,744,Jul,2023-07
PEPCO,2023,8,35.83820761021505,32.354994500000004,105.622326,9.643891,15.754631246754286,744,Aug,2023-08
PEPCO,2023,9,37.60127667361111,33.1729775,146.537628,12.132943,18.845027356074866,720,Sep,2023-09
PEPCO,2023,10,40.51791735887097,35.547143,143.196001,16.294594,18.97918299667013,744,Oct,2023-10
PEPCO,2023,11,38.36308065,33.422661000000005,183.1289,8.461378,18.78492448038463,720,Nov,2023-11
PEPCO,2023,12,32.46489093145161,29.717921,107.1885,14.681532,13.089109892816492,744,Dec,2023-12
PEPCO,2024,1,52.04616135887097,34.448428,342.011395,14.643043,41.76600844275803,744,Jan,2024-01
PEPCO,2024,2,26.120211794540232,24.40271,78.749036,11.040413,8.915783038025882,696,Feb,2024-02
PEPCO,2024,3,24.327791505376343,21.985884499999997,131.914784,10.438066,11.84619825707506,744,Mar,2024-03
PEPCO,2024,4,29.643306656944443,26.988675999999998,90.520846,10.319875,11.676664254217668,720,Apr,2024-04
PEPCO,2024,5,40.0509178655914,34.139973999999995,199.853492,12.163153,23.43440109595664,744,May,2024-05
PEPCO,2024,6,35.59728222638889,29.6816295,159.148627,10.057611,21.287142222332747,720,Jun,2024-06
PEPCO,2024,7,56.996262220430104,40.119877,534.796315,10.683746,62.752445189354,744,Jul,2024-07
PEPCO,2024,8,41.1945639905914,30.291294999999998,301.244238,9.662888,39.27569161927299,744,Aug,2024-08
PEPCO,2024,9,34.32440061388889,29.137673,187.885067,10.416901,20.037245412458827,720,Sep,2024-09
PEPCO,2024,10,41.74378095564516,35.878831500000004,157.391834,12.841807,22.836755558452225,744,Oct,2024-10
PEPCO,2024,11,32.223262448611116,29.245962,119.637352,13.93523,12.60744790215869,720,Nov,2024-11
PEPCO,2024,12,42.387334782258066,35.426951,277.584626,15.176779,26.073395611495293,744,Dec,2024-12
PEPCO,2025,1,76.46339906989247,48.970614999999995,383.62752,21.404598,69.16719670472341,744,Jan,2025-01
PEPCO,2025,2,50.896695299107144,40.7818405,304.848772,24.514726,30.99455749795295,672,Feb,2025-02
PEPCO,2025,3,49.231039737903224,43.529866,219.976929,25.1406,21.358134173435406,744,Mar,2025-03
PEPCO,2025,4,50.08154328888889,44.748944,191.367284,16.974867,21.978621466399613,720,Apr,2025-04
PEPCO,2025,5,41.810534741935484,34.980543499999996,262.645429,15.03043,27.348141855998048,744,May,2025-05
PEPCO,2025,6,53.694072999999996,35.982825500000004,609.506909,14.244812,61.43460463722121,720,Jun,2025-06
PEPCO,2025,7,77.4529670188172,49.835031,659.657814,18.938536,80.26902098658844,744,Jul,2025-07
PEPCO,2025,8,38.40607041129032,32.549411000000006,196.617392,12.430376,22.5826523900648,744,Aug,2025-08
PEPCO,2025,9,48.06927008333333,40.86954,191.681736,11.968934,27.469190424488726,720,Sep,2025-09
PEPCO,2025,10,58.09645868046358,47.888622999999995,305.678449,25.698833,32.44859393777472,604,Oct,2025-10
